name,datetime,log_temp,feelslike,log_precip,precipprob,precipcover,log_humidity,log_dew,log_windspeed,log_windgust,winddir,log_solarradiation,solarenergy,uvindex,cloudcover,log_pressure,visibility,snowdepth,severerisk,year,month,day,season_Dry,season_Wet
india,2022-09-06,4.499809670330265,96.2,0.0,0,0,4.100989104940769,4.294560608892605,2.322387720290225,2.624668592163159,291.9,5.502481951264444,21.0,8,39.1,6.914631582921569,2.4,0,14,2022,9,6,True,False
india,2022-09-07,4.508659285607248,97.5,0.0,0,0,4.100989104940769,4.301358731606427,2.066862759472976,2.7013612129514133,312.4,5.465102184192863,20.2,8,39.2,6.9161201953137645,2.3,0,14,2022,9,7,True,False
india,2022-09-08,4.509760001183433,99.6,0.0,0,0,4.139955073474153,4.32280727501391,1.916922612182061,2.4595888418037104,51.0,5.428028973069694,19.6,7,38.0,6.917012300244814,2.0,0,14,2022,9,8,True,False
india,2022-09-09,4.509760001183433,100.9,0.0,0,0,4.186619838331271,4.338597076746545,2.424802725718295,2.8273136219290276,98.1,5.396804313262691,19.0,7,50.2,6.916219357394266,2.1,0,14,2022,9,9,True,False
india,2022-09-10,4.497584975308154,102.8,0.0,0,0,4.289088639014612,4.373238128640803,2.322387720290225,2.797281334830153,106.2,5.307277107919509,17.3,7,54.7,6.9153265444784555,1.9,0,14,2022,9,10,True,False
india,2022-09-11,4.502029427068578,100.2,0.0,0,0,4.215086179918229,4.3425058765115985,2.2082744135228043,3.005682604407159,106.0,5.404477562376427,19.0,8,39.6,6.913140751258475,2.4,0,14,2022,9,11,True,False
india,2022-09-12,4.500920164614292,98.5,0.0,0,0,4.155753190350744,4.321480134805848,2.517696472610991,3.0819099697950434,96.8,5.337057194863967,17.8,8,44.3,6.911846896885391,2.4,0,14,2022,9,12,True,False
india,2022-09-13,4.465908118654584,92.9,0.0,100,4,4.269697449699962,4.324132656254979,2.517696472610991,3.1780538303479458,90.9,5.210032451680465,15.6,6,69.9,6.912444268468269,2.6,0,14,2022,9,13,True,False
india,2022-09-14,4.4355674016019115,90.6,0.0,100,8,4.378269585796169,4.341204640153626,2.6390573296152584,3.462606009790799,77.4,4.703203926259457,9.2,5,76.8,6.913041283411374,2.1,0,14,2022,9,14,True,False
india,2022-09-15,4.388257184424518,82.5,0.0,100,16,4.540098189244376,4.35799005684564,2.33214389523559,3.1780538303479458,61.5,4.225372824628505,5.6,5,92.3,6.9111495120501525,1.8,0,14,2022,9,15,True,False
india,2022-09-16,4.351567427189173,76.6,0.0,100,12,4.580877493419047,4.33729074083249,2.33214389523559,2.785011242238338,354.4,3.9646154555473165,4.4,3,97.1,6.909154299895844,1.5,0,14,2022,9,16,True,False
india,2022-09-17,4.4331949212482815,90.1,0.0,0,0,4.421247347827163,4.351567427189173,2.066862759472976,2.785011242238338,277.3,5.291292751611072,17.0,7,63.7,6.911249168236393,2.0,0,14,2022,9,17,True,False
india,2022-09-18,4.456670177669648,91.1,0.0,0,0,4.312140507209715,4.330733340286331,1.916922612182061,3.005682604407159,318.3,5.418320158942733,19.3,8,38.4,6.914234245079846,2.0,0,14,2022,9,18,True,False
india,2022-09-19,4.4520190064939165,93.4,0.0,100,4,4.361823927356363,4.3476939555933765,2.2082744135228043,2.760009940032921,336.0,5.093136515607999,14.0,6,63.4,6.914631582921569,1.8,0,14,2022,9,19,True,False
india,2022-09-20,4.441474093317302,91.6,0.0,100,4,4.35799005684564,4.338597076746545,2.066862759472976,2.5726122302071057,46.1,5.1664987919271885,15.3,7,71.7,6.914532263261161,1.9,0,14,2022,9,20,True,False
india,2022-09-21,4.404277243608702,84.6,0.0,100,4,4.4796069630127455,4.3489867805956814,2.424802725718295,2.8903717578961645,66.0,4.749270529961848,10.0,6,87.9,6.914432933735378,1.8,0,14,2022,9,21,True,False
india,2022-09-22,4.365643155423357,78.6,0.6931471805599453,100,16,4.574710978503383,4.3489867805956814,2.424802725718295,3.131136910560194,23.1,4.626931677769604,8.8,5,96.3,6.913936138057219,1.5,0,14,2022,9,22,True,False
india,2022-09-23,4.356708826689592,78.0,0.6931471805599453,100,20,4.597138014290827,4.350277936359301,2.2082744135228043,3.3105430133940246,57.0,4.247065649239764,5.9,3,100.0,6.912543795713934,1.3,0,14,2022,9,23,True,False
india,2022-09-24,4.363098624788363,77.9,0.0,100,20,4.58700621536042,4.351567427189173,2.624668592163159,3.131136910560194,93.0,3.6888794541139363,3.4,2,99.7,6.91085048388944,1.2,0,14,2022,9,24,True,False
india,2022-09-25,4.403054001865957,84.8,0.0,0,0,4.4520190064939165,4.335982696172475,2.066862759472976,3.005682604407159,233.2,5.245970886175828,16.4,6,78.9,6.913836749298005,2.2,0,14,2022,9,25,True,False
india,2022-09-26,4.42484663185681,88.4,0.0,0,0,4.423648309364701,4.3463994570307305,2.2082744135228043,2.975529566236472,307.1,5.354224998486333,18.3,7,44.2,6.917408536010275,1.7,0,14,2022,9,26,True,False
india,2022-09-27,4.436751534363128,88.1,0.0,0,0,4.351567427189173,4.324132656254979,2.066862759472976,2.9601050959108397,282.8,5.433285226958521,19.5,8,37.5,6.916417652060789,1.9,0,14,2022,9,27,True,False
india,2022-09-28,4.448516375942715,89.5,0.0,0,0,4.278054044290903,4.308110951723713,2.2082744135228043,2.8154087194227095,288.2,5.402226829938548,19.2,8,20.0,6.91512803331155,1.9,0,14,2022,9,28,True,False
india,2022-09-29,4.441474093317302,89.0,0.0,0,0,4.28496492183075,4.3054155323020415,2.322387720290225,2.928523523860541,301.7,5.4053764388414445,19.0,8,16.4,6.915028762948635,1.7,0,14,2022,9,29,True,False
india,2022-09-30,4.442651256490317,89.4,0.0,0,0,4.310799125385514,4.31748811353631,2.2082744135228043,3.0204248861443626,291.0,5.436774109695053,19.9,8,28.3,6.915425785286357,1.6,0,14,2022,9,30,True,False
india,2022-10-01,4.446174454497633,88.7,0.0,0,0,4.290459441148391,4.3054155323020415,2.2082744135228043,3.0492730404820207,302.0,5.417876601605676,19.3,8,12.2,6.914532263261161,1.6,0,14,2022,10,1,True,False
india,2022-10-02,4.454347296253507,88.5,0.0,0,0,4.192680462942962,4.275276264727001,2.424802725718295,3.091042453358316,284.6,5.43197375136071,19.7,8,6.4,6.914830192654099,1.6,0,14,2022,10,2,True,False
india,2022-10-03,4.44500143383527,86.3,0.0,0,0,4.102643365036796,4.229749199228304,2.7788192719904172,3.139832617527748,283.4,5.460010955546024,20.2,8,9.4,6.915822650059896,2.0,0,14,2022,10,3,True,False
india,2022-10-04,4.446174454497633,88.6,0.0,0,0,4.185098925490565,4.269697449699962,2.066862759472976,2.533696813957432,289.2,5.345677937907874,17.8,7,23.5,6.917309491786948,1.8,0,14,2022,10,4,True,False
india,2022-10-05,4.439115601658009,88.6,0.0,0,0,4.259859000699674,4.29592393562047,1.916922612182061,2.667228206581955,70.0,5.262171919911683,16.7,6,50.5,6.916615907414333,1.3,0,14,2022,10,5,True,False
india,2022-10-06,4.379523504455763,80.4,0.0,0,0,4.373238128640803,4.280824129164719,2.424802725718295,2.9014215940827497,104.5,5.218191322068752,16.0,7,61.5,6.917903610033952,1.9,0,14,2022,10,6,True,False
