week_starting_date,avg_max_temp,avg_min_temp,avg_temp,avg_feels_like_max_temp,avg_feels_like_min_temp,avg_feels_like_temp,avg_dew_point,avg_humidity,total_precipitation,avg_precipitation_probability,avg_precipitation_cover,total_snow,avg_snow_depth,avg_wind_gust,avg_wind_speed,avg_wind_direction,avg_sea_level_pressure,avg_cloud_cover,avg_visibility,avg_solar_radiation,total_solar_energy,avg_uv_index,avg_severe_risk,avg_moon_phase,most_common_conditions,most_common_description,most_common_icon,most_common_station
2016-05-15,19.17142857142857,12.657142857142857,15.528571428571428,19.17142857142857,12.214285714285714,15.485714285714286,9.957142857142857,72.34285714285714,16.221,85.71428571428571,16.667142857142856,0.0,0.0,38.471428571428575,24.37142857142857,177.82857142857142,1016.8142857142857,81.27142857142857,14.328571428571427,164.82857142857142,99.6,5.857142857142857,,0.19571428571428573,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-05-22,18.414285714285715,11.771428571428572,14.87142857142857,18.414285714285715,11.485714285714286,14.828571428571427,8.785714285714286,70.35714285714286,37.805,71.42857142857143,27.382857142857144,0.0,0.0,27.32857142857143,20.400000000000002,184.42857142857142,1019.5571428571428,84.51428571428572,14.214285714285714,167.57142857142858,101.2,5.857142857142857,,0.42857142857142855,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-05-29,28.8,17.385714285714286,22.657142857142855,29.5,17.385714285714286,22.900000000000002,16.057142857142857,69.25714285714285,17.291,42.857142857142854,13.095714285714285,0.0,0.0,31.442857142857143,21.042857142857144,222.79999999999998,1017.9142857142857,66.27142857142857,15.671428571428573,292.25714285714287,176.4,8.857142857142858,,0.6642857142857144,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-06-05,28.0,21.057142857142857,23.985714285714288,29.357142857142858,21.057142857142857,24.2,20.085714285714285,79.77142857142857,13.959,57.142857142857146,7.738571428571428,0.0,0.0,26.857142857142858,19.314285714285713,154.87142857142857,1015.0285714285714,86.72857142857143,15.557142857142859,208.41428571428574,126.69999999999999,6.714285714285714,,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-06-12,29.514285714285712,18.457142857142856,24.17142857142857,29.428571428571427,18.457142857142856,24.228571428571428,12.4,51.08571428571429,0.044,28.571428571428573,1.7857142857142858,0.0,0.0,50.42857142857143,30.985714285714288,280.74285714285713,1010.5,53.17142857142857,16.0,321.24285714285713,194.2,9.428571428571429,,0.14857142857142858,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-06-19,28.52857142857143,19.12857142857143,23.585714285714285,28.75714285714286,19.12857142857143,23.62857142857143,14.0,57.48571428571428,11.581,28.571428571428573,4.167142857142857,0.0,0.0,36.128571428571426,25.67142857142857,142.1142857142857,1015.7428571428571,75.75714285714285,15.657142857142857,274.59999999999997,165.8,8.428571428571429,,0.3757142857142857,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-06-26,29.67142857142857,20.985714285714288,25.071428571428573,30.185714285714287,20.985714285714288,25.17142857142857,17.385714285714286,65.25714285714285,38.4,57.142857142857146,7.142857142857143,0.0,0.0,36.128571428571426,22.985714285714288,170.15714285714284,1016.5142857142857,69.45714285714286,15.728571428571428,256.9142857142857,155.4,8.428571428571429,,0.6128571428571429,Partially cloudy,Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-07-03,28.014285714285712,19.985714285714288,24.014285714285712,29.62857142857143,19.985714285714288,24.442857142857143,17.5,68.89999999999999,41.922,57.142857142857146,14.285714285714286,0.0,0.0,35.92857142857143,21.87142857142857,223.44285714285712,1016.1714285714286,65.42857142857143,15.728571428571428,250.27142857142857,151.5,8.571428571428571,,0.8628571428571429,Partially cloudy,Partly cloudy throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-07-10,31.2,23.82857142857143,27.271428571428572,33.72857142857143,23.82857142857143,28.728571428571428,20.82857142857143,69.95714285714286,16.482,57.142857142857146,11.902857142857142,0.0,0.0,36.41428571428572,22.52857142857143,277.1142857142857,1011.8,69.08571428571429,15.400000000000002,235.75714285714284,142.5,7.428571428571429,,0.10285714285714287,Partially cloudy,Partly cloudy throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-07-17,32.714285714285715,22.785714285714285,27.557142857142857,34.92857142857143,22.785714285714285,28.75714285714286,19.985714285714288,65.47142857142858,10.427999999999999,42.857142857142854,3.5714285714285716,0.0,0.0,32.142857142857146,22.514285714285712,183.9857142857143,1016.7857142857143,63.857142857142854,15.885714285714286,240.29999999999998,143.9,7.571428571428571,,0.3314285714285714,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-07-24,33.58571428571428,23.47142857142857,28.357142857142858,36.31428571428571,23.642857142857142,30.0,20.5,64.67142857142856,25.32,28.571428571428573,4.167142857142857,0.0,0.0,40.98571428571428,22.071428571428573,185.55714285714288,1017.9571428571428,59.84285714285715,15.785714285714286,286.3285714285715,172.8,8.571428571428571,,0.5642857142857143,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-07-31,33.957142857142856,25.314285714285713,29.17142857142857,38.457142857142856,26.24285714285714,31.885714285714283,22.400000000000002,69.0,20.721999999999998,100.0,12.501428571428573,0.0,0.0,32.51428571428571,23.3,249.91428571428574,1013.2857142857143,76.10000000000001,15.62857142857143,227.9,138.0,7.714285714285714,,0.8157142857142857,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-08-07,30.885714285714283,22.914285714285715,26.5,32.714285714285715,22.914285714285715,27.3,19.842857142857145,68.62857142857142,2.627,14.285714285714286,2.9757142857142855,0.0,0.0,27.357142857142858,18.47142857142857,184.72857142857143,1016.0285714285714,70.55714285714285,15.985714285714286,213.47142857142856,129.2,7.142857142857143,,0.20142857142857143,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-08-14,34.42857142857143,24.957142857142856,29.214285714285715,38.58571428571429,26.114285714285717,32.357142857142854,21.957142857142856,66.84285714285714,0.0,0.0,0.0,0.0,0.0,39.557142857142864,26.228571428571428,199.70000000000002,1017.5428571428572,60.38571428571429,15.6,227.52857142857144,137.7,7.714285714285714,,0.2842857142857143,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-08-21,33.58571428571429,23.47142857142857,28.228571428571428,36.98571428571428,23.47142857142857,29.814285714285713,21.271428571428572,68.2,66.848,71.42857142857143,10.714285714285714,0.0,0.0,43.08571428571429,20.942857142857143,207.35714285714286,1016.1857142857143,66.91428571428571,15.571428571428571,224.95714285714286,135.6,7.285714285714286,,0.5114285714285715,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-08-28,31.114285714285717,22.185714285714287,26.585714285714285,32.614285714285714,22.185714285714287,27.557142857142857,18.714285714285715,63.75714285714286,0.20299999999999999,28.571428571428573,1.1914285714285715,0.0,0.0,31.37142857142857,20.014285714285712,186.17142857142858,1021.1142857142858,43.67142857142857,15.985714285714286,247.12857142857143,150.0,8.285714285714286,,0.7642857142857142,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-09-04,29.857142857142858,21.585714285714285,25.528571428571432,31.014285714285712,21.585714285714285,26.028571428571432,17.414285714285715,62.199999999999996,0.8660000000000001,42.857142857142854,2.9771428571428573,0.0,0.0,32.24285714285714,22.614285714285717,104.28571428571429,1018.0428571428572,71.14285714285714,15.985714285714286,202.81428571428572,123.2,7.142857142857143,,0.43285714285714283,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-09-11,33.27142857142857,22.75714285714286,27.8,35.77142857142857,22.75714285714286,29.185714285714287,19.24285714285714,62.271428571428565,1.606,28.571428571428573,4.1657142857142855,0.0,0.0,39.17142857142857,24.557142857142857,269.15714285714284,1016.4571428571428,59.957142857142856,15.928571428571429,218.22857142857143,131.6,7.571428571428571,,0.23285714285714285,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-09-18,29.442857142857143,20.457142857142856,24.342857142857145,29.714285714285715,20.457142857142856,24.52857142857143,16.7,64.77142857142857,0.0,0.0,0.0,0.0,0.0,33.05714285714286,20.400000000000002,142.31428571428572,1021.3285714285714,62.228571428571435,16.0,182.65714285714284,110.1,6.285714285714286,,0.4657142857142857,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
